IP: 110.34.31.28 TIME: Jan 11 2:12:22 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36
IP: 110.34.31.28 TIME: Jan 11 13:01:12 2019 REFERRER: http://www.anilpaudel.com.np/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:01:55 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:02:33 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:02:47 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:02:55 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:00 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:06 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:10 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:15 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:21 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:03:26 2019 REFERRER:  SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:13:55 2019 REFERRER: http://www.anilpaudel.com.np/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:15:26 2019 REFERRER: http://www.anilpaudel.com.np/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 13:15:54 2019 REFERRER: http://www.anilpaudel.com.np/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 110.34.31.28 TIME: Jan 11 14:49:47 2019 REFERRER: http://www.anilpaudel.com.np/ SEARCHSTRING:  USERAGENT: Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
IP: 192.168.0.12 TIME: Jan 11 15:21:38 2019 REFERRER:  SEARCHSTRING:  USERAGENT: avast! Antivirus
